gene_id	Phe-2B-Rep1_L1	Phe-2B-Rep1_L2	Phe-2B-Rep1_L3	Phe-2M-Rep1_L1	Phe-2M-Rep1_L2	Phe-2M-Rep1_L3	Phe-4B-Rep1_L1	Phe-4B-Rep1_L2	Phe-4B-Rep1_L3	Phe-4M-Rep1_L1	Phe-4M-Rep1_L2	Phe-4M-Rep1_L3
PH02Gene00033	49	190	86	87	53	35	122	86	97	84	32	49
PH02Gene00034	890	2705	1274	1882	1068	795	1581	1210	1402	1040	463	590
PH02Gene00035	11350	30639	15423	20475	10716	8795	11782	8586	10315	8110	3542	4724
PH02Gene00036	4	4	0	6	6	0	4	4	5	3	3	6
PH02Gene00037	145	385	184	266	151	136	211	153	193	243	90	113
PH02Gene00038	104	289	144	165	106	52	135	67	98	118	42	50
PH02Gene00039	335	864	449	626	312	268	459	355	409	356	191	202
PH02Gene00040	13	30	20	27	23	10	34	32	31	32	20	26
PH02Gene00041	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00042	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00043	15	24	16	23	13	12	48	40	29	54	15	43
PH02Gene00044	3	6	2	2	5	2	27	14	19	19	15	20
PH02Gene00045	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00046	419	1149	600	1043	539	419	1014	677	854	1582	744	882
PH02Gene00047	562	1368	696	1226	646	571	691	505	576	956	368	543
PH02Gene00048	237	655	308	439	260	156	293	251	289	239	125	146
PH02Gene00049	82	228	114	195	90	55	113	111	104	87	27	45
PH02Gene00050	7	32	24	30	7	8	35	17	16	758	306	432
PH02Gene00051	30	59	27	80	43	29	142	98	105	582	236	280
PH02Gene00052	13	37	19	27	12	15	25	17	24	59	24	24
PH02Gene00053	218	569	297	586	325	263	432	315	369	602	287	332
PH02Gene00054	1	1	3	3	6	3	18	5	16	626	305	371
PH02Gene00055	822	2424	1105	2264	1206	920	2412	1726	2144	2157	933	1149
PH02Gene00056	82	217	89	198	77	79	195	130	160	234	103	125
PH02Gene00057	3289	9315	4532	9336	4970	3938	9296	6774	8228	10779	4670	5974
PH02Gene00058	0	0	0	0	0	0	4	2	2	3	0	3
PH02Gene00059	533	1509	764	1217	619	497	1029	723	831	1100	451	567
PH02Gene00060	517	1464	697	1417	717	524	892	722	834	187	103	130
PH02Gene00061	4	8	8	3	0	0	3	0	2	0	0	0
PH02Gene00062	39	106	45	93	36	45	94	86	87	1061	461	664
PH02Gene00063	1	6	0	2	0	2	25	8	22	705	294	390
PH02Gene00064	14	47	31	106	42	37	674	523	585	8677	3683	4850
PH02Gene00065	120	343	162	549	264	216	280	170	220	480	204	293
PH02Gene00066	58	167	105	172	70	64	93	96	95	272	75	116
PH02Gene00067	544	1487	673	1122	610	457	761	616	698	921	425	481
PH02Gene00068	59	138	65	248	119	114	1156	850	1058	313	138	174
PH02Gene00069	0	0	0	0	0	0	5	2	1	0	0	0
PH02Gene00070	0	1	2	5	4	0	7	2	6	3	5	3
PH02Gene00071	46	88	44	45	26	17	38	19	29	54	18	21
PH02Gene00072	159	540	257	488	272	202	412	265	367	595	270	396
PH02Gene00073	703	2037	1005	1729	896	751	1170	843	1042	988	417	555
PH02Gene00074	556	1533	767	1156	636	495	443	325	383	75	25	44
PH02Gene00075	660	1876	903	1525	768	620	616	491	532	280	137	152
PH02Gene00076	203	544	255	469	200	207	413	290	396	552	218	264
PH02Gene00077	920	2651	1315	2293	1244	920	1344	968	1100	1237	541	668
PH02Gene00078	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00079	62	218	100	89	70	32	39	36	33	26	19	11
PH02Gene00080	539	1284	681	1074	576	472	698	520	598	546	246	329
PH02Gene00081	252	590	310	665	336	269	479	276	385	1720	739	937
PH02Gene00082	1314	3446	1749	2607	1356	1127	1995	1360	1789	2179	1000	1209
PH02Gene00083	14589	38290	19288	31258	16135	13211	21335	15173	18792	22921	9685	12792
PH02Gene00084	4400	14943	7087	9765	5262	5716	7433	6858	6407	9535	4151	4974
PH02Gene00085	3	19	14	11	12	5	13	5	4	3	4	1
PH02Gene00086	0	0	0	0	0	0	3	0	1	0	0	0
PH02Gene00087	7428	20401	10223	18836	9960	7877	11147	8287	10150	13849	6180	7744
PH02Gene00088	1	1	0	2	0	0	6	0	1	0	0	0
PH02Gene00089	1987	5532	2863	4683	2437	2189	3233	2570	2887	4629	1934	2419
PH02Gene00090	5849	12261	5794	10099	5106	1562	8032	4246	7604	3000	1267	2076
PH02Gene00091	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00092	21735	59639	28959	51690	27350	21864	42651	30701	37252	51555	22197	28581
PH02Gene00093	96	282	159	431	202	178	505	378	477	1712	708	893
PH02Gene00094	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00095	0	4	1	1	5	0	0	2	2	12	9	10
PH02Gene00096	158	490	244	441	195	195	295	229	243	431	179	227
PH02Gene00097	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00098	324	878	398	854	455	384	881	597	723	1528	659	920
PH02Gene00099	492	1313	648	1298	684	499	1535	1178	1442	2448	1058	1322
PH02Gene00100	213	602	302	470	235	184	203	151	196	140	59	78
PH02Gene00101	23	48	24	52	23	32	155	145	182	158	58	90
PH02Gene00102	11984	32192	15959	23629	12505	10187	18411	13192	16052	16064	6937	9068
PH02Gene00103	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00104	425	1061	554	882	468	359	579	410	497	913	395	498
PH02Gene00105	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00106	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00107	57	182	82	100	62	33	37	37	33	37	22	24
PH02Gene00108	5	19	13	6	5	5	8	6	8	6	0	4
PH02Gene00109	86	213	113	138	47	47	67	57	61	74	29	41
PH02Gene00110	431	1035	557	1057	539	476	977	780	830	2080	997	1191
PH02Gene00111	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00112	89	294	176	268	149	132	291	172	217	411	202	221
PH02Gene00113	375	1007	535	722	388	329	551	425	478	388	131	202
PH02Gene00114	360	1092	533	703	370	241	455	339	398	352	157	199
PH02Gene00115	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00116	217	674	340	707	335	271	808	611	740	874	377	519
PH02Gene00117	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00118	739	2084	1072	1530	755	647	1027	724	918	733	315	415
PH02Gene00119	59	179	92	149	78	91	153	113	125	260	93	121
PH02Gene00120	7	2	1	4	0	0	3	1	2	3	1	0
PH02Gene00121	194	541	251	474	294	231	472	318	377	860	380	483
PH02Gene00122	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00123	0	0	0	0	0	0	4	0	0	0	0	0
PH02Gene00124	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00125	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00126	11	17	4	11	16	7	9	2	5	14	9	11
PH02Gene00127	312	817	416	662	392	278	406	272	363	472	186	258
PH02Gene00128	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00129	1258	3678	1720	3614	1831	1414	2874	1943	2547	4125	1859	2431
PH02Gene00130	0	0	0	1	5	1	1	1	2	0	0	0
PH02Gene00131	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00132	80	190	111	160	89	78	38	19	30	20	4	11
PH02Gene00133	35	85	52	62	19	25	22	15	17	15	6	16
PH02Gene00134	115	354	185	229	137	108	171	118	168	71	40	50
PH02Gene00135	132	386	206	453	253	209	582	484	528	689	356	423
PH02Gene00136	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00137	251	763	368	435	280	209	440	343	382	224	90	152
PH02Gene00138	130	329	155	217	120	89	212	180	252	352	147	185
PH02Gene00139	358	979	487	740	372	311	934	639	834	519	205	292
PH02Gene00140	5	9	4	1	0	3	5	1	2	0	0	0
PH02Gene00141	395	1166	580	947	534	424	694	517	613	958	404	488
PH02Gene00142	0	0	2	4	1	1	0	1	3	3	0	1
PH02Gene00143	284	834	356	553	297	214	343	276	313	409	159	228
PH02Gene00144	14	17	4	10	5	2	14	12	5	8	5	1
PH02Gene00145	719	2010	991	1718	910	664	622	468	574	130	58	69
PH02Gene00146	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00147	286	809	397	533	286	227	258	170	219	161	68	80
PH02Gene00148	0	3	0	0	0	0	0	0	0	0	0	0
PH02Gene00149	23	64	45	49	19	17	30	33	39	31	15	13
PH02Gene00150	5487	15105	7153	10581	5624	4219	3376	2370	3019	468	222	227
PH02Gene00151	1301	3451	1702	2200	1231	930	765	521	620	70	36	37
PH02Gene00152	1568	3781	1624	2641	1464	1074	899	690	798	139	51	69
PH02Gene00153	133	335	173	259	135	117	374	263	365	581	221	343
PH02Gene00154	88	233	129	207	134	89	130	81	108	118	52	64
PH02Gene00155	0	0	0	0	0	1	0	1	0	0	0	0
PH02Gene00156	759	2144	1068	1774	942	725	1562	1141	1371	2656	1182	1556
PH02Gene00157	679	1776	928	1519	814	666	1366	968	1216	1902	843	1072
PH02Gene00158	188	445	223	851	410	389	2505	1703	2069	2918	1354	1781
PH02Gene00159	5636	15484	7798	18579	9764	8041	28012	20661	25477	87239	38357	48211
PH02Gene00160	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00161	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00162	0	0	0	0	1	0	34	49	41	13	8	4
PH02Gene00163	334	893	425	959	556	383	1081	790	986	1617	688	870
PH02Gene00164	8	23	11	46	17	20	88	76	102	52	32	53
PH02Gene00165	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00166	93	250	114	220	103	88	170	92	142	178	80	104
PH02Gene00167	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00168	965	2479	1221	3109	1779	1310	5390	3705	4665	10353	4510	5891
PH02Gene00169	13	38	17	39	25	21	26	16	34	112	39	39
PH02Gene00170	142	372	185	379	201	156	237	157	216	276	116	150
PH02Gene00171	289	813	336	598	236	271	566	385	484	668	301	397
PH02Gene00172	78	249	116	278	114	113	211	136	182	399	181	176
PH02Gene00173	719	1721	809	1940	933	763	1907	1312	1649	4044	1724	2194
PH02Gene00174	221	633	335	539	285	254	418	276	364	533	222	290
PH02Gene00175	199	539	219	315	188	148	311	240	308	437	202	232
PH02Gene00176	0	2	3	2	1	0	2	0	4	10	1	9
PH02Gene00177	489	1288	633	1172	679	484	895	598	803	1057	476	622
PH02Gene00178	339	986	474	676	386	289	540	367	466	649	253	380
PH02Gene00179	203	465	259	757	402	301	1775	1241	1607	1688	731	948
PH02Gene00180	1772	4856	2359	5710	2913	2414	4533	3079	3887	6680	3097	3929
PH02Gene00181	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00182	258	717	365	547	305	252	539	354	491	598	250	384
PH02Gene00183	227	607	300	733	394	281	867	592	693	2145	926	1163
PH02Gene00184	0	0	0	0	0	0	3	1	1	362	144	214
PH02Gene00185	67	173	68	113	58	46	75	65	66	104	39	60
PH02Gene00186	14	32	24	40	10	10	11	3	6	11	5	7
PH02Gene00187	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00188	148	517	239	446	226	166	209	142	163	241	80	137
PH02Gene00189	323	780	403	677	337	272	515	347	386	416	172	281
PH02Gene00190	249	645	306	592	255	251	405	273	335	390	175	239
PH02Gene00191	14	55	23	31	24	17	35	32	22	108	31	41
PH02Gene00192	19	92	43	86	45	30	90	43	60	109	55	59
PH02Gene00193	62	185	80	142	86	71	94	76	79	179	78	98
PH02Gene00194	1378	4027	1982	3229	1680	1413	1359	964	1222	1122	474	617
PH02Gene00195	82	268	133	244	112	100	179	119	144	163	91	98
PH02Gene00196	0	0	0	1	0	2	0	0	0	0	1	2
PH02Gene00197	22	49	32	23	17	21	22	19	21	5	4	5
PH02Gene00198	305	882	446	918	433	383	700	489	576	822	335	426
PH02Gene00199	3	22	7	7	14	5	4	4	9	8	4	2
PH02Gene00200	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00201	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00202	759	1915	940	1782	857	693	861	658	836	1055	485	571
PH02Gene00203	45	216	87	106	74	56	81	52	65	10	3	8
PH02Gene00204	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00205	105	286	117	355	221	161	607	464	550	1254	622	754
PH02Gene00206	0	0	0	3	1	3	2	1	3	45	25	36
PH02Gene00207	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00208	165	554	260	389	235	206	348	259	276	411	186	216
PH02Gene00209	235	611	329	436	195	206	310	208	271	289	135	170
PH02Gene00210	4	16	5	14	17	12	5	11	21	28	21	17
PH02Gene00211	929	2405	1172	2390	1172	1019	2073	1427	1901	1385	591	760
PH02Gene00212	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00213	290	917	446	743	394	312	497	374	471	689	288	384
PH02Gene00214	209	503	245	587	284	214	402	341	321	647	303	346
PH02Gene00215	845	2147	1095	2256	1241	910	1654	1266	1497	2239	960	1309
PH02Gene00216	2150	5744	2757	4746	2579	1899	2492	1824	2264	2303	1032	1306
PH02Gene00217	35	55	23	41	24	34	183	123	167	159	70	83
PH02Gene00218	117	359	186	296	168	131	153	153	145	135	61	76
PH02Gene00219	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00220	8	11	6	15	2	4	4	0	4	14	8	9
PH02Gene00221	231	747	303	998	506	430	967	645	809	1149	509	629
PH02Gene00222	60	193	77	218	80	80	374	255	304	467	188	240
PH02Gene00223	30	81	44	73	60	25	98	90	109	490	210	272
PH02Gene00224	73	206	103	182	89	67	234	142	179	225	92	143
PH02Gene00225	19	68	15	80	37	35	55	38	70	158	56	84
PH02Gene00226	687	1976	919	1948	1066	804	1690	1238	1436	3054	1331	1645
PH02Gene00227	170	450	219	505	227	185	359	262	308	548	202	291
PH02Gene00228	387	1044	467	935	490	378	646	481	552	722	344	386
PH02Gene00229	977	2642	1331	2355	1252	1017	2083	1560	1856	2622	1153	1511
PH02Gene00230	302	824	362	596	336	255	288	212	254	169	80	94
PH02Gene00231	104	220	104	206	126	83	117	76	101	224	104	146
PH02Gene00232	677	1748	877	1943	1021	777	1707	1232	1384	3419	1457	1875
PH02Gene00233	0	6	1	3	0	0	0	0	0	0	0	0
PH02Gene00234	0	0	0	0	2	1	0	5	1	19	8	8
PH02Gene00235	15	33	1	64	25	0	42	13	27	25	0	1
PH02Gene00236	203	528	230	498	314	237	354	252	292	329	146	211
PH02Gene00237	202	519	265	590	303	264	421	273	378	445	225	269
PH02Gene00238	56	143	65	162	86	65	76	31	48	128	58	75
PH02Gene00239	58	167	108	136	54	44	26	24	27	46	20	29
PH02Gene00240	0	8	3	8	1	6	2	3	1	0	1	1
PH02Gene00241	667	1814	900	1442	699	573	795	589	723	641	232	322
PH02Gene00242	476	1061	516	987	578	419	878	659	838	1085	452	635
PH02Gene00243	0	8	3	1	0	1	0	0	0	0	0	0
PH02Gene00244	25	77	37	241	126	103	583	371	537	222	120	150
PH02Gene00245	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00246	47	114	56	226	110	99	746	550	640	333	141	172
PH02Gene00247	2	2	2	8	3	4	20	9	24	4	0	2
PH02Gene00248	0	0	0	0	0	0	29	24	38	7	3	1
PH02Gene00249	136	308	166	247	146	113	229	167	179	245	100	123
PH02Gene00250	57	186	73	183	120	72	108	66	86	355	144	210
PH02Gene00251	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00252	0	0	0	0	0	0	0	1	1	0	0	0
PH02Gene00253	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00254	195	535	264	466	289	201	319	190	237	516	201	274
PH02Gene00255	3713	9994	5197	6992	3618	3026	6255	4603	5649	6355	2820	3623
PH02Gene00256	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00257	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00258	173	475	252	508	217	222	306	266	311	369	186	198
PH02Gene00259	39	111	66	107	50	40	54	49	49	35	8	21
PH02Gene00260	747	2090	976	1768	966	707	951	682	888	1164	499	651
PH02Gene00261	302	950	475	635	344	256	459	295	392	393	160	182
PH02Gene00262	192	508	234	378	203	155	89	75	103	124	71	71
PH02Gene00263	0	0	0	1	0	2	4	1	0	1	0	5
PH02Gene00264	689	1836	883	2457	1359	914	2494	1909	2317	5465	2350	2923
PH02Gene00265	848	2196	1122	1762	896	741	1424	914	1186	1778	753	951
PH02Gene00266	4	14	5	19	10	3	15	4	9	42	15	40
PH02Gene00267	500	1312	625	1186	682	512	1026	725	829	2843	1226	1551
PH02Gene00268	7	14	10	11	7	6	68	35	53	178	84	86
PH02Gene00269	236	760	323	725	435	302	627	447	559	734	273	392
PH02Gene00270	459	1421	635	926	502	418	616	460	591	454	220	225
PH02Gene00271	14	48	21	90	56	34	227	180	199	198	72	101
PH02Gene00272	188	414	225	458	218	170	194	167	166	257	121	147
PH02Gene00273	289	767	396	771	404	288	486	353	485	788	345	437
PH02Gene00274	540	1327	677	1009	591	418	1061	745	939	1228	508	693
PH02Gene00275	805	2207	1120	2274	1294	1000	2047	1505	1998	2355	991	1303
PH02Gene00276	32	91	48	75	47	40	571	379	495	197	91	113
PH02Gene00277	300	714	374	764	411	290	364	235	302	466	238	294
PH02Gene00278	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00279	1049	2638	1428	1961	1121	963	1005	705	794	642	298	352
PH02Gene00280	0	0	0	3	0	0	0	0	0	0	0	0
PH02Gene00281	1	6	0	2	3	0	0	0	0	2	0	5
PH02Gene00282	0	4	5	6	4	5	7	7	2	2	0	0
PH02Gene00283	84	261	124	323	182	165	188	158	174	331	141	178
PH02Gene00284	198	516	274	458	259	207	256	190	209	197	58	91
PH02Gene00285	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00286	0	2	1	0	0	0	1	1	0	1	0	1
PH02Gene00287	12	52	13	56	17	20	82	45	85	106	35	55
PH02Gene00288	179	595	284	435	267	204	349	288	331	579	215	338
PH02Gene00289	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00290	998	2755	1299	2435	1169	1075	2100	1627	1862	2436	1073	1455
PH02Gene00291	27	77	30	23	24	15	80	81	91	132	49	64
PH02Gene00292	55	158	82	165	73	62	72	72	80	142	56	72
PH02Gene00293	100	273	132	219	109	71	100	64	59	48	12	34
PH02Gene00294	2	14	7	7	3	3	3	1	2	3	2	2
PH02Gene00295	569	1668	809	1285	680	531	644	484	555	451	233	261
PH02Gene00296	63	179	79	164	86	66	89	73	68	184	85	98
PH02Gene00297	44	156	55	131	45	43	295	191	238	418	179	228
PH02Gene00298	0	1	1	16	1	5	69	45	50	318	122	195
PH02Gene00299	111	306	145	370	207	172	473	320	347	947	405	550
PH02Gene00300	379	1171	574	1080	597	461	780	598	690	581	232	341
PH02Gene00301	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00302	0	0	0	3	0	0	0	2	4	0	0	0
PH02Gene00303	798	2287	987	2785	1436	1208	2032	1386	1745	8647	3676	4912
PH02Gene00304	127	271	137	401	261	190	204	140	176	273	112	137
PH02Gene00305	115	306	159	242	150	111	128	120	135	195	86	112
PH02Gene00306	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00307	196	473	238	426	209	196	289	191	278	470	137	227
PH02Gene00308	145	409	218	458	221	193	373	256	327	1102	541	632
PH02Gene00309	3534	9327	4516	8148	4277	3467	5797	4123	5209	8221	3782	4798
PH02Gene00310	11	31	13	38	8	21	13	12	24	61	31	39
PH02Gene00311	0	0	0	1	0	0	34	17	29	3	3	5
PH02Gene00312	15	45	32	94	38	34	159	103	85	184	111	124
PH02Gene00313	2	4	2	3	0	0	4	1	1	0	0	0
PH02Gene00314	420	1159	564	986	492	444	494	373	491	357	167	178
PH02Gene00315	139	379	167	315	175	127	123	93	115	146	54	89
PH02Gene00316	0	4	2	0	0	0	1	0	2	0	0	0
PH02Gene00317	14	34	20	65	31	15	100	68	67	176	66	81
PH02Gene00318	16	51	31	46	29	12	15	14	13	7	2	4
PH02Gene00319	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00320	111	292	147	230	116	86	157	86	142	193	86	91
PH02Gene00321	163	463	231	520	263	220	253	184	231	301	126	145
PH02Gene00322	38	68	42	60	27	18	52	54	39	50	13	18
PH02Gene00323	871	2376	1205	2135	1249	999	1709	1278	1478	1790	803	1047
PH02Gene00324	2	1	0	4	0	0	2	0	0	0	0	0
PH02Gene00325	278	761	406	753	402	314	479	328	429	778	363	461
PH02Gene00326	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00327	15	36	12	49	12	21	21	14	11	64	37	44
PH02Gene00328	50	102	58	65	47	36	36	34	53	88	41	69
PH02Gene00329	0	4	1	0	0	0	7	6	7	1	1	1
PH02Gene00330	25	66	45	100	54	54	99	71	84	133	60	91
PH02Gene00331	0	0	0	2	0	0	0	0	0	0	0	0
PH02Gene00332	2	9	3	52	8	16	15	3	9	30	18	16
PH02Gene00333	37	100	62	127	73	53	83	70	76	213	100	144
PH02Gene00334	0	1	0	3	0	1	5	1	9	3	1	2
PH02Gene00335	230	633	351	710	324	327	692	495	597	659	321	398
PH02Gene00336	285	691	353	593	363	263	427	322	342	451	220	252
PH02Gene00337	80	196	107	228	120	70	144	109	121	118	33	62
PH02Gene00338	153	431	194	329	128	120	212	126	177	140	48	78
PH02Gene00339	44	72	44	76	35	13	41	14	37	27	9	9
PH02Gene00340	74	181	105	273	142	122	383	262	307	310	136	147
PH02Gene00341	13	24	12	33	12	14	66	32	33	11	7	8
PH02Gene00342	183	584	295	658	392	342	879	696	772	497	233	274
PH02Gene00343	157	472	202	567	290	184	559	380	491	1463	622	834
PH02Gene00344	73	175	66	241	127	115	428	317	383	557	257	317
PH02Gene00345	240	705	333	567	281	260	435	252	352	425	216	231
PH02Gene00346	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00347	457	1227	682	1170	533	469	1000	748	908	992	435	543
PH02Gene00348	52	146	52	217	114	63	233	195	236	245	117	134
PH02Gene00349	2415	6391	3106	4697	2421	1938	2703	1997	2388	1358	587	725
PH02Gene00350	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00351	497	1360	668	1164	601	498	734	527	677	887	425	516
PH02Gene00352	57	133	83	111	62	48	90	80	72	81	40	43
PH02Gene00353	235	644	315	948	537	389	972	764	827	1326	618	763
PH02Gene00354	144	483	209	335	176	143	171	141	166	175	84	106
PH02Gene00355	65	156	74	119	78	54	74	65	83	88	51	68
PH02Gene00356	24	77	42	1	3	3	9	14	7	0	2	2
PH02Gene00357	702	1997	927	1768	1047	752	1136	751	1021	1499	692	861
PH02Gene00358	3	18	12	7	8	7	15	9	13	22	7	14
PH02Gene00359	321	868	428	589	348	290	281	208	270	292	144	176
PH02Gene00360	0	3	1	0	0	0	1	0	0	0	0	0
PH02Gene00361	993	2826	1422	2830	1448	1207	2365	1689	2000	5097	2124	2864
PH02Gene00362	3	4	0	2	2	5	10	8	6	3	2	1
PH02Gene00363	421	1173	537	852	466	390	712	502	587	895	393	511
PH02Gene00364	1072	2925	1529	2567	1330	1092	2423	1765	2116	1854	811	1010
PH02Gene00365	31	126	47	57	27	36	62	43	67	57	26	31
PH02Gene00366	5	18	13	38	4	9	15	17	18	25	4	4
PH02Gene00367	37	121	55	89	33	46	50	53	46	52	17	26
PH02Gene00368	0	5	0	2	0	0	0	0	0	2	1	1
PH02Gene00369	2	5	0	11	4	4	2	3	6	2	4	5
PH02Gene00370	117	293	160	155	84	72	93	56	69	94	31	41
PH02Gene00371	1	5	1	0	1	3	0	4	0	0	0	1
PH02Gene00372	9	27	12	17	12	11	8	6	6	6	0	6
PH02Gene00373	128	401	185	290	174	108	235	190	207	281	95	137
PH02Gene00374	25	61	50	63	23	31	74	41	49	77	29	34
PH02Gene00375	53	97	47	152	99	82	137	94	128	366	160	200
PH02Gene00376	203	585	284	535	261	227	377	292	390	549	222	331
PH02Gene00377	2554	6457	3253	5339	2822	2285	4500	3301	3911	5154	2378	2995
PH02Gene00378	12	31	12	61	21	19	199	129	192	31	17	18
PH02Gene00379	110	300	155	224	87	84	115	63	149	124	54	77
PH02Gene00380	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00381	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00382	891	2387	1119	2514	1349	976	1755	1345	1632	3097	1402	1801
PH02Gene00383	7	8	4	2	0	0	5	11	4	6	2	5
PH02Gene00384	343	929	468	816	393	344	610	428	526	604	293	357
PH02Gene00385	451	1269	624	995	530	394	516	369	417	457	185	286
PH02Gene00386	39	101	39	88	53	41	1	3	1	2	0	0
PH02Gene00387	0	0	0	3	0	0	0	0	0	0	0	0
PH02Gene00388	272	752	357	500	269	226	334	261	288	405	175	229
PH02Gene00389	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00390	170	422	213	315	178	110	283	152	231	269	117	168
PH02Gene00391	522	1411	710	1208	681	492	720	516	587	689	254	372
PH02Gene00392	1	8	0	0	0	0	4	1	1	0	0	0
PH02Gene00393	0	0	0	0	0	0	10	13	17	4	0	2
PH02Gene00394	0	0	0	0	0	0	0	0	0	0	0	0
